artist_id,artist_name,gender,notes,source_row
1,883,M,,2
279,Mina,F,,277
278,Milva,F,,276
277,Miguel Bosé,M,,275
276,Michele Zarrillo,M,,274
275,Michele Bravi,M,,273
274,Mia Martini,F,,272
272,Mecna,M,,270
271,Max Gazzè,M,,269
270,Mauro Pagani,M,,268
269,Mauro Coruzzi,M,,267
268,Matteo Romano,M,,266
267,Matia Bazar,Mixed,,265
266,Massimo Ranieri,M,,264
265,Masini,M,,263
264,Marracash,M,,262
263,Mario Biondi,M,,261
262,Maria Antonietta,F,,260
261,Margherita Vicario,F,,259
260,Marco Mengoni,M,,258
259,Marco Masini,M,,257
258,Marcella Bella,F,,256
281,Modà,M,,279
257,Mara Sattei,F,,255
282,Moreno,M,,280
284,Mr. Rain,M,,282
309,Paola Turci,F,,307
308,Paola & Chiara,F,,306
307,Pacifico,M,,305
306,P. Vallesi,M,,304
305,Ornella Vanoni,F,,303
304,Orietta Berti,F,,302
303,Olly,M,,301
300,Nomadi,M,,298
299,Noemi,F,,297
298,Nino Ferrer,M,,296
297,Nina Zilli,F,,295
296,Nilla Pizzi,F,,294
295,Nik Kershaw,M,,293
294,Nesli,M,,292
293,Neri per Caso,M,,291
292,Nek,N,,290
291,Negramaro,M,,289
290,Neffa,M,,288
287,Nada,F,,285
286,Måneskin,Mixed,,284
285,Myss Keta,F,,283
283,Morgan,M,,281
256,Manuel Agnelli,M,,254
255,Mannoia,F,,253
254,Maninni,M,,252
227,Le Deva,F,,225
225,Lazza,M,,224
224,Laura Marzadori,F,,223
223,Las Ketchup,F,,222
222,Lara Fabian,F,,221
220,La Sad,M,,220
219,La Rappresentante di Lista,Mixed,,219
218,la nazionale di ginnastica ritmica,F,,433
217,Kingdom Choir,Mixed,,217
216,Jvke,M,,216
215,Junior Cally,M,,215
214,Julio Iglesias,M,,214
213,Jovanotti,M,,213
212,Johnson Righeira,M,,212
211,Joan Thiele,F,,211
210,Jimmy Fontana,M,,210
209,Jalisse,Mixed,,209
208,Jack Savoretti,M,,208
207,J-Ax,M,,207
206,Izi,M,,206
205,Ivana Spagna,F,,205
228,Le Vibrazioni,M,,226
229,Leo Gassmann,M,,227
230,Leonard Cohen,M,,228
231,Levante,M,,229
253,Mango,M,,251
252,Mandelli,M,,250
251,Mamakass,M,,249
250,Malika Ayane,F,,248
249,Mahmood,M,,247
248,Magical Mistery Band,M,,246
247,Madame,F,,245
246,Lùnapop,M,,244
245,Luigi Tenco,M,,243
244,Lucio Dalla,M,,242
310,Paolo Jannacci,M,,308
243,Lucio Corsi,M,,241
241,Luchè,M,,239
240,Luca Carboni,M,,238
239,Lous and the Yakuza,F,,237
238,Lorenzo Fragola,M,,236
237,Lorella Cuccarini,F,,235
236,Loredana Bertè,F,,234
235,Lodovica Comello,F,,233
234,Lo Stato Sociale,M,,232
233,Little Tony,M,,231
232,Ligera County Fam.,M,,230
242,Lucio Battisti,M,,240
204,Iva Zanicchi,F,,204
311,Paolo Vallesi,M,,309
313,Paul McCartney,M,,311
403,TonyPitony,M,,402
402,Tony Effe,M,,401
400,Tommaso Paradiso,M,,399
399,Tiziano Ferro,M,,398
398,Tiromancino,M,,397
395,The Kolors,M,,394
392,The Beatles,M,,391
391,Tenores di Bitti,M,,390
390,Tananai,M,,389
388,Sílvia Pérez Cruz,F,,387
384,Stadio,M,,383
382,Sottotono,M,,381
381,Sophie and the Giants con Peppe Vessicchio,Mixed,,380
379,Skin,F,,378
377,Simone Cristicchi,M,,376
376,Simona Molinari,F,,375
375,Simon & Garfunkel,M,,374
374,Shari,F,,373
373,Shablo con Guè Joshua,M,,372
371,Sergio Sylvestre,M,,370
370,Sergio Endrigo,M,,369
404,Topo Gigio,M,,403
369,Serena Brancale,F,,368
406,Tormento,M,,405
408,Toto Cutugno,M,,407
221,la Wedding & Funeral Band,Mixed,,432
194,il coro Artemia,F,,431
196,il Quartetto Flegreo,Mixed,,430
195,il Coro di voci bianche del Teatro Regio di Torino,Mixed,,429
429,Zucchero Fornaciari,M,,428
428,Zucchero,M,,427
427,Zero Assoluto,M,,426
426,Yuman,M,,425
425,Willie Peyote,M,,424
424,Will,M,,423
423,Walter Murphy,M,,422
422,Vinicio Capossela con Mauro Pagani,M,,421
418,Vasco Rossi,M,,417
417,Valerio Scanu,M,,416
416,Valerio Lundini,M,,415
415,Umberto Tozzi,M,,414
414,Ultimo,M,,413
412,Tullio De Piscopo,M,,411
411,Tricarico,M,,410
410,Tredici Pietro,M,,409
409,Tozzi-Morandi-Ruggeri,M,,408
407,Tosca,F,,406
368,Sayf,M,,367
367,Saverio Lanza,M,,366
366,Saverio Cigarini,M,,365
338,Rettore,F,,337
337,Renzo Rubino,M,,336
335,Renato Zero,M,,335
334,Renato Carosone,M,,334
,Renato,M,,333
333,Ray Charles,M,,332
331,Raphael Gualazzi,M,,330
330,Raoul Casadei,M,,329
327,Raffaella Carrà,F,,326
326,Raf,M,,325
325,Queen,M,,324
322,Pupo,M,,321
321,Premiata Forneria Marconi,M,,320
341,Ricchi e Poveri,Mixed,,319
320,Pooh,M,,318
319,Pino Daniele,M,,317
318,Pino D'Angiò,M,,316
317,Pinguini Tattici Nucleari,M,,315
316,Piero Pelù,M,,314
315,Pierangelo Bertoli,M,,313
314,Peter Pichler,M,,312
339,Riccardo Cocciante,M,,338
340,Riccardo Sinigallia,M,,339
342,Ricky Portera,M,,341
365,Sarah Toscano,F,,364
364,Santi Francesi,M,,363
363,Sangiovanni,M,,362
361,Samuele Bersani,M,,360
360,Samuel,M,,359
359,Salmo,M,,358
358,Sal Da Vinci,M,,357
357,S. Cristicchi,M,,356
356,Roy Paci,M,,355
355,Rose Villain,F,,354
312,Patty Pravo,F,,310
354,Rosa Chemical,M,,353
352,Romina Power,F,,351
351,Rocco Tanica,M,,350
350,Rocco Hunt,M,,349
349,Roberto Vecchioni,M,,348
348,Rkomi,M,,347
347,Rita Pavone,F,,346
346,Rita Marcotulli,F,,345
345,Rino Gaetano,M,,344
344,Riki,M,,343
343,Righeira,M,,342
353,Ron,M,,352
203,Irene Grandi,F,,203
226,LDA,M,,218
201,Irene Cara,F,,201
74,Claudio Santamaria,M,,76
73,Claudia Mori,F,,75
