artist_id,artist_name
1,883
2,A Great Big World feat. Christina Aguilera
3,Achille Lauro
4,Actarus
5,Adele
6,Adriano Celentano
7,Aeham Ahmad
8,Afterhours
9,Aiello
10,Aitana
11,AKA 7even
12,Al Bano
13,Alan Sorrenti
14,Alberto Lupo
15,Alberto Radius
16,Alberto Urso
17,Aleandro Baldi
18,Alessandra Amoroso
19,Alessio Bernabei
20,Alex Baroni
21,Alex Britti
22,Alfa
23,Alicia Keys
24,Alunni del Sole
25,Amara
26,Amedeo Minghi
27,Ana Mena
28,Anastasio
29,Andrea Bocelli
30,Andy dei Bluvertigo
31,Angelina Mango
32,Anna Oxa
33,Anna Tatangelo
34,Annalisa
35,Antonello Venditti
36,Aretha Franklin
37,Ariete
38,Arisa
39,Articolo 31
40,B. Antonacci
41,BabelNova Orchestra
42,Bambole di pezza
43,Baustelle
44,Belén Rodríguez
45,Benji & Fede
46,Biagio Antonacci
47,Bianca Atzei
48,Biggio
49,BigMama
50,Blanco
51,Bluvertigo
52,Bnkr44
53,Bobo Rondelli
54,Boomdabash
55,Bresh
56,Britney Spears
57,Brunori Sas
58,Bugo
59,C.S.I.
60,Calcutta
61,Calibro 35
62,Canova
63,Carla Bruni
64,Carmen Consoli
65,Casadilego
66,Caterina Caselli
67,CCCP - Fedeli alla linea
68,Cesare Cremonini
69,Chiara
70,Chiello
71,"Christian ""Tozzo"" Montanarella"
72,Christina Aguilera et al.
73,Clara
74,Claudia Mori
75,Claudio Santamaria
76,Clementino
77,Cochi
78,Colapesce Dimartino
79,Colla Zio
80,Colombre
81,Coma Cose
82,Coma_Cose
83,Coro del Teatro Regio di Parma
84,Coro Voci Nere
85,Cosmo
86,Cristiano De André
87,Cristina D'Avena
88,Cugini di Campagna
89,Daniele Moretto
90,Daniele Silvestri
91,Danilo Rea
92,Dardust
93,Dargen D'Amico
94,David Bowie
95,Dear Jack
96,Deborah Iurato
97,Delia
98,Dik Dik
99,Dimartino
100,Diodato
101,Dionne Warwick
102,Ditonellapiaga
103,Dolcenera
104,Domenico Modugno
105,Don Backy
106,Don Joe
107,Donatella Rettore
108,Dori Ghezzi
109,Eddie Brock
110,Edoardo
111,Edoardo Bennato
112,Eduardo De Crescenzo
113,Eiffel 65
114,Elena D'Amario
115,Elettra Lamborghini
116,Elio
117,Elisa
118,Elodie
119,Elton John
120,Emanuela Fanelli
121,Emma
122,Enrico Nigiotti
123,Enrico Ruggeri
124,Enzo Jannacci
125,Ermal Meta
126,Eros Ramazzotti
127,Eugenio Bennato
128,Eurythmics
129,Extraliscio con Davide Toffolo
130,Fabio Liberatori
131,Fabrizio Bosso
132,Fabrizio De André
133,Fabrizio Moro
134,Fasma
135,Fausto Cigliano
136,Fausto Leali
