contestant,n_covers,mean_originality
AKA 7even,1,1.0
Achille Lauro,2,0.41666666666666663
Aiello,1,0.5
Al Bano,1,0.14285714285714285
Alberto Urso,1,1.0
Alessandra Amoroso,3,0.6666666666666666
Alessio Bernabei,2,0.26666666666666666
Alex Britti,1,1.0
Alfa,1,1.0
Ana Mena,3,0.8333333333333334
Anastasio,1,1.0
Angelina Mango,1,1.0
Anna Oxa,1,0.3333333333333333
Anna Tatangelo,1,1.0
Annalisa,4,0.4523809523809524
Ariete,1,0.25
Arisa,3,0.7333333333333334
Articolo 31,9,0.1111111111111111
Bambole di pezza,1,1.0
Bianca Atzei,1,0.16666666666666666
BigMama,1,1.0
Bluvertigo,1,0.3333333333333333
Bnkr44,1,1.0
Bresh,1,0.14285714285714285
Brunori Sas,1,0.16666666666666666
Bugo,1,0.1111111111111111
Chiara,2,0.225
Chiello,1,0.16666666666666666
Clara,2,1.0
Clementino,1,0.14285714285714285
Colapesce Dimartino,2,0.19642857142857142
Colla Zio,1,0.3333333333333333
Coma Cose,3,0.48148148148148145
Dargen D'Amico,3,0.7777777777777777
Dear Jack,2,0.6666666666666666
Diodato,2,0.14285714285714285
Ditonellapiaga,1,1.0
Dolcenera,1,1.0
Eddie Brock,1,0.25
Elettra Lamborghini,2,1.0
Elio e le Storie Tese,1,1.0
Elisa,1,1.0
Elodie,3,0.48333333333333334
Emma,4,0.5
Enrico Nigiotti,2,0.75
Enrico Ruggeri,1,1.0
Ermal Meta,3,0.5
Extraliscio con Davide Toffolo,3,1.0
Fabrizio Moro,2,0.6666666666666666
Fasma,1,0.5
Fedez,1,1.0
Fiorella Mannoia,2,0.6666666666666666
Francesca Michielin,1,0.1111111111111111
Francesco Gabbani,3,0.5476190476190476
Francesco Renga,2,0.5833333333333334
Fred De Palma,3,0.3333333333333333
Fulminacci,2,0.625
Gaia,2,0.16666666666666666
Gazzelle,1,1.0
Geolier,3,1.0
Ghali,3,0.5
Ghemon,4,0.5777777777777777
Gianluca Grignani,2,0.25
Gianmaria,1,0.5
Gianni Morandi,4,0.29166666666666663
Gigi D'Alessio,1,1.0
Gio Evan,1,1.0
Giordana Angi,1,0.5
Giorgia,2,1.0
Giovanni Truppi,1,0.14285714285714285
Giusy Ferreri,1,0.1111111111111111
I Cugini di Campagna,1,1.0
Il Tre,3,0.25
Il Volo,2,1.0
Irama,4,0.6333333333333333
Irene Fornaciari,1,0.3333333333333333
Irene Grandi,2,0.25
Iva Zanicchi,1,1.0
J-Ax,1,0.5
Joan Thiele,1,0.5
Junior Cally,1,0.16666666666666666
LDA,1,1.0
La Rappresentante di Lista,2,0.75
La Sad,1,0.5
Lara Fabian,1,0.16666666666666666
Lazza,1,0.5
Le Vibrazioni,2,0.6666666666666666
Leo Gassmann,4,0.4666666666666667
Levante,3,0.4365079365079365
Lo Stato Sociale,1,0.5
Lodovica Comello,1,0.3333333333333333
Loredana Bertè,1,0.16666666666666666
Lorenzo Fragola,2,0.6666666666666666
Luchè,1,0.3333333333333333
Lucio Corsi,1,0.3333333333333333
Madame,2,0.14285714285714285
Mahmood,1,0.16666666666666666
Malika Ayane,3,0.25
Maninni,1,1.0
Mara Sattei,2,1.0
Marcella Bella,1,0.14285714285714285
Marco Masini,3,0.8333333333333334
Marco Mengoni,1,1.0
Massimo Ranieri,2,0.2
Matteo Romano,1,1.0
Max Gazzè,1,1.0
Michele Bravi,3,0.17592592592592593
Michele Zarrillo,2,1.0
Modà,2,0.6666666666666666
Moreno,1,0.14285714285714285
Mr. Rain,2,1.0
Måneskin,1,1.0
Nayt,1,0.14285714285714285
Neffa,1,0.5
Negramaro,1,0.1111111111111111
Nek,1,0.3333333333333333
Nesli,1,1.0
Nina Zilli,1,0.5
Noemi,3,0.611111111111111
Olly,2,0.5714285714285714
Orietta Berti,1,0.3333333333333333
Paola & Chiara,4,0.25
Paola Turci,1,0.3333333333333333
Paolo Jannacci,1,1.0
Patty Pravo,2,0.6666666666666666
Piero Pelù,1,1.0
Pinguini Tattici Nucleari,8,0.6145833333333333
Raf,2,0.75
Rancore,1,1.0
Random,1,0.25
Raphael Gualazzi,1,1.0
Renga Nek,4,0.41666666666666663
Ricchi e Poveri,1,0.3333333333333333
Riki,1,0.5
Rita Pavone,1,1.0
Rkomi,3,0.16666666666666666
Rocco Hunt,2,0.35
Rosa Chemical,1,0.14285714285714285
Rose Villain,4,0.1349206349206349
Sal Da Vinci,1,0.5
Samuel,1,1.0
Samurai Jay,1,0.2
Sangiovanni,2,1.0
Santi Francesi,1,1.0
Sarah Toscano,1,1.0
Sayf,1,1.0
Serena Brancale,2,1.0
Sergio Sylvestre,1,1.0
Sethu,1,1.0
Shari,2,0.2
Simone Cristicchi,1,0.25
Stadio,1,0.16666666666666666
Tananai,2,1.0
The Kolors,4,0.5
Tommaso Paradiso,1,0.16666666666666666
Tosca,1,0.16666666666666666
Tredici Pietro,1,1.0
Ultimo,3,0.25
Valerio Scanu,1,0.1111111111111111
Will,1,0.5
Willie Peyote,2,0.5
Yuman,1,1.0
Zero Assoluto,1,1.0
"[Biggio, Mandelli]",1,0.5
"[Bugo, Morgan]",1,0.3333333333333333
"[Ditonellapiaga, Rettore]",1,0.25
"[Elodie, Achille Lauro]",3,0.5111111111111111
"[Fedez, Masini]",1,0.14285714285714285
"[Francesca Michielin, Fedez]",5,0.8666666666666666
"[Giovanni Caccamo, Deborah Iurato]",1,0.2
"[Grazia Di Michele, Mauro Coruzzi]",1,1.0
"[Highsnob, Hu]",1,0.16666666666666666
"[LDA, AKA 7even]",1,1.0
"[Mahmood, Blanco]",1,0.5
"[Maria Antonietta, Colombre]",1,0.5
"[Noemi, Tony Effe]",1,0.5
"[Rkomi, Francesca Michielin]",1,1.0
"[Shablo con Guè Joshua, Tormento]",3,0.8333333333333334
