song,count
Un'emozione da poco,3
Mi sono innamorato di te,3
E la vita la vita,2
Io che amo solo te,2
Vivere,2
A mano a mano,2
Il mio canto libero,2
Io vivrò (senza te),2
America,2
Quando finisce un amore,2
Adesso tu,2
La musica è finita,2
L'italiano,2
Penso positivo,2
La fine,2
Ragazzo fortunato,2
Quando,2
Gianna,2
Nessuno mi può giudicare,2
Cinque giorni,2
Sarà perché ti amo,2
Salirò,2
La canzone del sole,2
Angelo,2
Portami via,2
Meravigliosa creatura,2
Il mondo,2
Rose rosse,1
Se perdo te,1
Una carezza in un pugno,1
Dio come ti amo,1
Il volto della vita,1
Mare mare,1
Se telefonando,1
Alghero,1
Ciao amore ciao,1
Io mi fermo qui,1
Una città per cantare,1
Ancora,1
Ti sento,1
Sto male,1
Vedrai vedrai,1
Se bruciasse la città,1
Sarà per te,1
Dedicato,1
Un bacio a mezzanotte,1
Goldrake,1
Amore senza fine,1
Tutt'al più,1
Amore disperato,1
Don Raffaè,1
Il quinto ripensamento,1
Cuore,1
Tu vuò fà l'americano,1
O' sarracino,1
Se perdo anche te,1
La lontananza,1
La donna cannone,1
'A canzuncella,1
La sera dei miracoli,1
Diamante,1
Amara terra mia,1
Le mille bolle blu,1
Pregherò,1
Sempre e per sempre,1
Un giorno credi,1
L'immensità,1
Susanna,1
Signor tenente,1
Se tu non torni,1
Ho difeso il mio amore,1
La pelle nera,1
La leva calcistica della classe '68,1
La stagione dell'amore,1
Deborah,1
Vado al massimo,1
Vacanze romane,1
L'edera,1
E se domani,1
Spalle al muro,1
Si può dare di più,1
La voce del silenzio,1
Luce (tramonti a nord est),1
Ti regalerò una rosa,1
La nevicata del '56,1
24 mila baci,1
Piazza Grande,1
1950,1
Gli uomini non cambiano,1
Canzone per te,1
Cuore matto,1
Se me lo dicevi prima,1
Non succederà più,1
Prima di andare via,1
Una ragione di più,1
Un'avventura,1
Cyrano,1
Amandoti,1
Giudizi universali,1
Gli anni,1
Splendido splendente,1
Prisencolinensinainciusol,1
Non è per sempre,1
Povera patria,1
Insieme a te non ci sto più,1
Del mondo,1
Caruso,1
(You Make Me Feel Like) A Natural Woman,1
Nella mia ora di libertà,1
My Way,1
Live and Let Die,1
A muso duro,1
...Baby One More Time,1
What a Feeling,1
Sei bellissima,1
Your Song,1
La mia storia tra le dita,1
Canzone,1
Be My Baby,1
