contestant,original_artist,n_covers_pair
AKA 7even,Alex Baroni,1
Achille Lauro,Loredana Bertè,1
Achille Lauro,Mia Martini,1
Aiello,Rino Gaetano,1
Al Bano,Adriano Celentano,1
Alberto Urso,"[Tony Del Monaco, Dionne Warwick]",1
Alessandra Amoroso,Sud Sound System,1
Alessandra Amoroso,"[Alessandra Amoroso, Boomdabash]",2
Alessio Bernabei,Edoardo Bennato,1
Alessio Bernabei,Riccardo Cocciante,1
Alex Britti,Dik Dik,1
Alfa,Roberto Vecchioni,1
Ana Mena,Alan Sorrenti,1
Ana Mena,Jimmy Fontana,1
Ana Mena,Julio Iglesias,1
Anastasio,Renato Zero,1
Angelina Mango,Mango,1
Anna Oxa,Anna Oxa,1
Anna Tatangelo,"[Domenico Modugno, Gigliola Cinquetti]",1
Annalisa,Eurythmics,1
Annalisa,Gianna Nannini,1
Annalisa,Matia Bazar,1
Annalisa,Ornella Vanoni,1
Ariete,Franco Battiato,1
Arisa,Fiorella Mannoia,1
Arisa,Pino Daniele,1
Arisa,Rita Pavone,1
Articolo 31,Articolo 31,9
Bambole di pezza,Cristina D'Avena,1
Bianca Atzei,Luigi Tenco,1
BigMama,Christina Aguilera et al.,1
Bluvertigo,Domenico Modugno,1
Bnkr44,Pino D'Angiò,1
Bresh,Fabrizio De André,1
Brunori Sas,Lucio Dalla,1
Bugo,Lucio Battisti,1
Chiara,Caterina Caselli,1
Chiara,Zucchero,1
Chiello,Luigi Tenco,1
Clara,Ivana Spagna,1
Clara,Simon & Garfunkel,1
Clementino,Fabrizio De André,1
Colapesce Dimartino,Adriano Celentano,1
Colapesce Dimartino,Franco Battiato,1
Colla Zio,Daniele Silvestri,1
Coma Cose,Lucio Battisti,1
Coma Cose,Ricchi e Poveri,1
Coma Cose,Righeira,1
Dargen D'Amico,Dargen D'Amico,1
Dargen D'Amico,Patty Pravo,1
Dargen D'Amico,Pupo,1
Dear Jack,Quartetto Cetra,1
Dear Jack,Sergio Endrigo,1
Diodato,Adriano Celentano,1
Diodato,Fabrizio De André,1
Ditonellapiaga,Mitzi Green,1
Dolcenera,Nada,1
Eddie Brock,Fabrizio Moro,1
Elettra Lamborghini,Claudia Mori,1
Elettra Lamborghini,Las Ketchup,1
Elio e le Storie Tese,Walter Murphy,1
Elisa,Irene Cara,1
Elodie,Eros Ramazzotti,1
Elodie,Riccardo Cocciante,1
Elodie,The Guess Who,1
Emma,Britney Spears,1
Emma,Tiziano Ferro,3
Enrico Nigiotti,Samuele Bersani,1
Enrico Nigiotti,Simone Cristicchi,1
Enrico Ruggeri,Alunni del Sole,1
Ermal Meta,Domenico Modugno,1
Ermal Meta,Jvke,1
Ermal Meta,Lucio Dalla,1
Extraliscio con Davide Toffolo,Dori Ghezzi,1
Extraliscio con Davide Toffolo,Gabriella Ferri,1
Extraliscio con Davide Toffolo,Raoul Casadei,1
Fabrizio Moro,Francesco De Gregori,1
Fabrizio Moro,Pooh,1
Fasma,Nesli,1
Fedez,Marco Masini,1
Fiorella Mannoia,Francesco De Gregori,1
Fiorella Mannoia,"[Mannoia, Gabbani]",1
Francesca Michielin,Lucio Battisti,1
Francesco Gabbani,Adriano Celentano,1
Francesco Gabbani,Toto Cutugno,1
Francesco Gabbani,Tricarico,1
Francesco Renga,David Bowie,1
Francesco Renga,Ornella Vanoni,1
Fred De Palma,Eiffel 65,3
Fulminacci,Jovanotti,1
Fulminacci,"[Mina, Alberto Lupo]",1
Gaia,Luigi Tenco,1
Gaia,Ornella Vanoni,1
Gazzelle,Antonello Venditti,1
Geolier,Luchè,1
Geolier,"[Geolier feat. Lazza, Takagi & Ketra]",1
Geolier,"[Guè, Marracash]",1
Ghali,Ghali,2
Ghali,Toto Cutugno,1
Ghemon,Lucio Battisti,1
Ghemon,Neri per Caso,1
Ghemon,Stadio,1
Ghemon,Zucchero,1
Gianluca Grignani,Gianluca Grignani,1
Gianluca Grignani,Luigi Tenco,1
