year,performer_gender,n_covers,n_female_original_per_year,n_all_covers_per_year,share
2015,F,3,5,20,0.15
2015,M,1,5,20,0.05
2015,Mixed,1,5,20,0.05
2016,F,5,5,20,0.25
2017,F,2,2,16,0.125
2020,F,3,10,31,0.0967741935483871
2020,M,7,10,31,0.22580645161290322
2021,F,2,6,35,0.05714285714285714
2021,M,3,6,35,0.08571428571428572
2021,Mixed,1,6,35,0.02857142857142857
2022,F,5,9,32,0.15625
2022,M,3,9,32,0.09375
2022,Mixed,1,9,32,0.03125
2023,F,6,8,44,0.13636363636363635
2023,M,2,8,44,0.045454545454545456
2024,F,4,5,49,0.08163265306122448
2024,M,1,5,49,0.02040816326530612
2025,F,3,4,30,0.1
2025,Mixed,1,4,30,0.03333333333333333
2026,F,6,9,30,0.2
2026,M,3,9,30,0.1
