node_a,node_b,weight
Dik Dik,Sergio Endrigo,1
Dik Dik,Matia Bazar,1
Dik Dik,Ornella Vanoni,1
Dik Dik,Luigi Tenco,1
Dik Dik,Vasco Rossi,1
Dik Dik,Massimo Ranieri,1
Dik Dik,Giuni Russo,1
Dik Dik,Luca Carboni,1
Dik Dik,"[Domenico Modugno, Gigliola Cinquetti]",1
Dik Dik,Eduardo De Crescenzo,1
Dik Dik,Cochi e Renato,1
Dik Dik,Patty Pravo,1
Dik Dik,Francesco Nuti,1
Dik Dik,Caterina Caselli,1
Dik Dik,Adriano Celentano,1
Dik Dik,Mina,1
Dik Dik,Ron,1
Sergio Endrigo,Matia Bazar,2
Sergio Endrigo,Ornella Vanoni,3
Sergio Endrigo,Luigi Tenco,2
Sergio Endrigo,Vasco Rossi,2
Sergio Endrigo,Massimo Ranieri,1
Sergio Endrigo,Giuni Russo,1
Sergio Endrigo,Luca Carboni,1
Sergio Endrigo,"[Domenico Modugno, Gigliola Cinquetti]",1
Sergio Endrigo,Eduardo De Crescenzo,1
Sergio Endrigo,Cochi e Renato,1
Sergio Endrigo,Patty Pravo,1
Sergio Endrigo,Francesco Nuti,1
Sergio Endrigo,Caterina Caselli,3
Sergio Endrigo,Adriano Celentano,3
Sergio Endrigo,Mina,1
Sergio Endrigo,Ron,1
Sergio Endrigo,Amedeo Minghi,1
Sergio Endrigo,Eros Ramazzotti,1
Sergio Endrigo,Ricchi e Poveri,1
Sergio Endrigo,"[Fausto Cigliano, Gene Pitney]",1
Sergio Endrigo,Little Tony,1
Sergio Endrigo,Renato Zero,1
Sergio Endrigo,Fausto Leali,1
Sergio Endrigo,Mia Martini,1
Sergio Endrigo,Simone Cristicchi,1
Sergio Endrigo,Nilla Pizzi,1
Sergio Endrigo,Enzo Jannacci,1
Sergio Endrigo,Achille Lauro,1
Sergio Endrigo,Claudia Mori,1
Sergio Endrigo,Max Gazzè,1
Sergio Endrigo,Daniele Silvestri,2
Sergio Endrigo,Toto Cutugno,1
Sergio Endrigo,Lucio Dalla,2
Sergio Endrigo,Tozzi-Morandi-Ruggeri,1
Sergio Endrigo,Rino Gaetano,2
Sergio Endrigo,Anna Oxa,1
Sergio Endrigo,Elisa,1
Sergio Endrigo,Noemi,1
Sergio Endrigo,"[Tony Del Monaco, Dionne Warwick]",1
Sergio Endrigo,Nesli,1
Sergio Endrigo,Jalisse,1
Sergio Endrigo,Neffa,1
Sergio Endrigo,Stadio,1
Sergio Endrigo,Pino Daniele,1
Sergio Endrigo,Dori Ghezzi,1
Sergio Endrigo,Lucio Battisti,1
Sergio Endrigo,Zucchero Fornaciari,1
Sergio Endrigo,C.S.I.,1
Sergio Endrigo,Calcutta,1
Sergio Endrigo,Jovanotti,1
Sergio Endrigo,Afterhours,1
Sergio Endrigo,Raoul Casadei,1
Sergio Endrigo,"[Al Bano, Romina Power]",1
Sergio Endrigo,"[Aleandro Baldi, Francesca Alotta]",1
Sergio Endrigo,CCCP - Fedeli alla linea,1
Sergio Endrigo,Samuele Bersani,1
Sergio Endrigo,Francesco Guccini,1
Sergio Endrigo,Donatella Rettore,1
Sergio Endrigo,Franco Battiato,1
Sergio Endrigo,Gabriella Ferri,1
Sergio Endrigo,Neri per Caso,1
Sergio Endrigo,883,1
Matia Bazar,Ornella Vanoni,2
Matia Bazar,Luigi Tenco,1
Matia Bazar,Vasco Rossi,2
Matia Bazar,Massimo Ranieri,1
Matia Bazar,Giuni Russo,1
Matia Bazar,Luca Carboni,1
Matia Bazar,"[Domenico Modugno, Gigliola Cinquetti]",1
Matia Bazar,Eduardo De Crescenzo,1
Matia Bazar,Cochi e Renato,1
Matia Bazar,Patty Pravo,1
Matia Bazar,Francesco Nuti,1
Matia Bazar,Caterina Caselli,2
Matia Bazar,Adriano Celentano,2
Matia Bazar,Mina,1
Matia Bazar,Ron,1
Matia Bazar,Amedeo Minghi,1
Matia Bazar,Eros Ramazzotti,1
Matia Bazar,Ricchi e Poveri,1
Matia Bazar,"[Fausto Cigliano, Gene Pitney]",1
Matia Bazar,Little Tony,1
Matia Bazar,Renato Zero,1
Matia Bazar,Fausto Leali,1
Matia Bazar,Mia Martini,1
Matia Bazar,Simone Cristicchi,1
Matia Bazar,Nilla Pizzi,1
Matia Bazar,Enzo Jannacci,1
Matia Bazar,Achille Lauro,1
Matia Bazar,Claudia Mori,1
Matia Bazar,Max Gazzè,1
Matia Bazar,Daniele Silvestri,1
Matia Bazar,Toto Cutugno,1
Matia Bazar,Lucio Dalla,1
Matia Bazar,Tozzi-Morandi-Ruggeri,1
Matia Bazar,Rino Gaetano,1
Matia Bazar,Anna Oxa,1
Matia Bazar,Elisa,1
Matia Bazar,Noemi,1
Matia Bazar,"[Tony Del Monaco, Dionne Warwick]",1
Ornella Vanoni,Luigi Tenco,3
Ornella Vanoni,Vasco Rossi,2
Ornella Vanoni,Massimo Ranieri,1
Ornella Vanoni,Giuni Russo,1
Ornella Vanoni,Luca Carboni,1
Ornella Vanoni,"[Domenico Modugno, Gigliola Cinquetti]",1
Ornella Vanoni,Eduardo De Crescenzo,1
Ornella Vanoni,Cochi e Renato,2
Ornella Vanoni,Patty Pravo,1
Ornella Vanoni,Francesco Nuti,1
Ornella Vanoni,Caterina Caselli,3
Ornella Vanoni,Adriano Celentano,4
Ornella Vanoni,Mina,2
Ornella Vanoni,Ron,1
Ornella Vanoni,Amedeo Minghi,1
